time,open,high,low,close,volume
1758912300,109823.0,109921.5,109654.0,109681.0,70182.0
1758913200,109680.0,109681.0,109386.0,109478.0,86008.0
1758914100,109471.0,109648.0,109230.5,109236.5,69250.0
1758915000,109230.0,109287.5,108964.0,109041.0,80602.0
1758915900,109047.5,109195.0,108977.0,109131.5,32818.0
1758916800,109121.0,109271.0,109055.5,109260.0,35443.0
1758917700,109252.5,109263.5,109041.5,109105.5,19669.0
1758918600,109099.0,109194.5,109081.0,109126.0,10834.0
1758919500,109127.0,109301.0,109127.0,109240.5,15411.0
1758920400,109232.5,109418.0,109137.5,109415.0,20854.0
1758921300,109416.0,109439.0,109275.0,109420.5,15228.0
1758922200,109420.5,109421.5,109291.5,109291.5,4957.0
1758923100,109283.5,109490.5,109260.5,109423.5,8996.0
1758924000,109430.0,109501.0,109297.0,109474.0,9114.0
1758924900,109471.5,109534.0,109402.0,109457.0,4285.0
1758925800,109457.0,109515.5,109441.5,109485.0,3443.0
1758926700,109486.0,109565.0,109471.5,109516.5,4913.0
1758927600,109516.5,109516.5,109432.0,109438.5,3979.0
1758928500,109438.5,109516.5,109383.5,109516.5,3152.0
1758929400,109530.0,109640.0,109530.0,109624.5,7555.0
1758930300,109624.5,109653.0,109588.5,109599.0,5856.0
1758931200,109591.0,109611.5,109530.0,109552.0,5897.0
1758932100,109552.0,109618.0,109458.5,109547.0,7577.0
1758933000,109546.0,109562.5,109428.0,109443.5,7746.0
1758933900,109442.5,109607.5,109442.5,109607.5,9220.0
1758934800,109606.5,109618.0,109461.5,109503.5,9172.0
1758935700,109482.5,109502.5,109387.5,109441.5,8644.0
1758936600,109440.5,109482.0,109280.0,109291.0,16713.0
1758937500,109293.5,109401.0,109292.5,109395.5,10669.0
1758938400,109394.5,109443.5,109345.0,109395.5,12289.0
1758939300,109395.5,109410.5,109287.5,109305.5,13682.0
1758940200,109310.0,109411.0,109305.0,109406.5,10420.0
1758941100,109406.5,109410.0,109340.0,109359.0,8183.0
1758942000,109359.0,109436.0,109334.0,109403.0,10578.0
1758942900,109403.0,109526.0,109403.0,109499.5,22183.0
1758943800,109498.5,109703.5,109498.5,109596.5,31774.0
1758944700,109596.5,109621.5,109480.5,109515.0,32094.0
1758945600,109515.0,109597.5,109482.5,109502.5,15589.0
1758946500,109503.5,109656.5,109470.5,109656.5,21550.0
1758947400,109656.5,109705.5,109565.0,109566.0,26148.0
1758948300,109565.0,109623.0,109560.0,109608.5,10605.0
1758949200,109609.5,109609.5,109548.5,109570.5,12333.0
1758950100,109571.5,109616.0,109555.0,109571.5,7959.0
1758951000,109571.5,109642.5,109571.5,109614.5,9411.0
1758951900,109613.5,109627.0,109565.5,109597.5,6753.0
1758952800,109598.0,109598.0,109505.5,109533.0,13231.0
1758953700,109532.0,109533.0,109481.0,109505.5,17246.0
1758954600,109504.5,109505.5,109449.0,109449.0,22918.0
1758955500,109447.5,109500.0,109442.5,109500.0,14486.0
1758956400,109499.5,109521.0,109475.5,109519.0,16858.0
1758957300,109519.0,109530.0,109452.0,109452.0,20480.0
1758958200,109452.0,109453.0,109336.5,109338.0,41013.0
1758959100,109338.0,109376.0,109294.0,109365.0,37970.0
1758960000,109366.0,109366.0,109227.0,109255.5,57696.0
1758960900,109239.0,109324.5,109228.5,109323.5,18110.0
1758961800,109324.5,109324.5,109267.0,109280.5,10245.0
1758962700,109280.5,109299.5,109215.5,109215.5,16424.0
1758963600,109215.5,109250.0,109126.5,109137.5,32314.0
1758964500,109138.5,109138.5,109032.0,109049.0,34846.0
1758965400,109050.0,109259.5,109049.0,109245.0,38961.0
1758966300,109245.0,109320.5,109201.5,109260.5,24149.0
1758967200,109261.5,109281.0,109228.5,109260.0,10416.0
1758968100,109259.0,109265.5,109215.5,109251.0,8242.0
1758969000,109251.0,109451.0,109250.0,109366.5,47167.0
1758969900,109366.5,109440.5,109359.0,109395.5,17298.0
1758970800,109395.5,109413.0,109298.5,109298.5,15774.0
1758971700,109298.0,109317.5,109260.5,109297.0,16230.0
1758972600,109297.0,109308.0,109255.0,109258.0,8259.0
1758973500,109258.0,109277.0,109247.5,109276.0,9258.0
1758974400,109280.0,109294.5,109204.0,109224.5,15911.0
1758975300,109224.5,109266.0,109211.5,109224.0,7770.0
1758976200,109223.0,109406.5,109201.0,109372.5,29497.0
1758977100,109373.5,109455.5,109321.5,109365.5,24212.0
1758978000,109365.5,109378.0,109275.5,109275.5,16518.0
1758978900,109275.5,109351.0,109275.5,109330.5,7524.0
1758979800,109330.5,109331.5,109277.5,109329.0,10693.0
1758980700,109329.0,109335.5,109275.0,109275.0,7726.0
1758981600,109275.0,109357.0,109275.0,109318.0,16078.0
1758982500,109318.0,109318.0,109275.0,109290.0,6865.0
1758983400,109290.0,109323.5,109258.0,109258.5,11366.0
1758984300,109258.5,109273.0,109213.5,109255.0,28739.0
1758985200,109248.0,109248.0,109155.5,109192.0,42131.0
1758986100,109193.0,109299.0,109188.0,109226.0,17312.0
1758987000,109234.0,109357.0,109175.5,109297.5,18645.0
1758987900,109297.5,109396.0,109273.5,109351.0,18541.0
1758988800,109352.0,109381.0,109288.0,109302.0,14441.0
1758989700,109300.0,109378.5,109270.5,109343.0,12885.0
1758990600,109344.0,109391.0,109302.5,109325.0,11847.0
1758991500,109325.0,109375.0,109266.0,109349.5,15699.0
1758992400,109356.0,109357.0,109247.0,109286.5,19646.0
1758993300,109285.5,109291.0,109198.5,109264.5,26532.0
1758994200,109264.5,109340.5,109243.5,109299.5,15856.0
1758995100,109300.5,109383.0,109235.0,109341.0,18460.0
1758996000,109341.0,109396.0,109301.5,109376.0,8546.0
1758996900,109377.0,109386.0,109356.0,109378.0,8993.0
1758997800,109379.5,109386.0,109335.0,109339.5,9286.0
1758998700,109340.5,109410.0,109339.5,109393.5,10162.0
1758999600,109394.5,109405.0,109382.0,109382.0,10196.0
1759000500,109382.0,109401.0,109356.0,109382.0,13665.0
1759001400,109382.0,109395.5,109344.0,109358.0,4814.0
1759002300,109358.0,109383.0,109358.0,109380.5,2701.0
1759003200,109381.0,109400.0,109332.5,109350.5,5408.0
1759004100,109350.5,109351.5,109316.0,109326.0,4116.0
1759005000,109326.0,109382.5,109326.0,109353.0,2238.0
1759005900,109354.0,109354.0,109343.5,109343.5,1524.0
1759006800,109343.5,109349.5,109343.5,109349.5,1277.0
1759007700,109359.0,109394.5,109359.0,109394.5,1623.0
1759008600,109394.5,109446.5,109393.5,109406.5,8712.0
1759009500,109407.5,109431.5,109406.5,109431.5,2096.0
1759010400,109433.5,109579.0,109433.5,109579.0,43416.0
1759011300,109579.0,109664.5,109569.0,109663.5,23044.0
1759012200,109664.5,109664.5,109541.5,109560.0,10217.0
1759013100,109538.0,109562.0,109462.5,109562.0,7168.0
1759014000,109561.0,109601.5,109490.5,109551.0,7593.0
1759014900,109551.0,109551.5,109409.5,109497.0,3730.0
1759015800,109497.0,109567.5,109496.5,109556.0,5145.0
1759016700,109552.5,109638.5,109552.5,109587.5,4398.0
1759017600,109588.5,109631.0,109500.0,109520.0,4858.0
1759018500,109520.0,109761.0,109513.5,109738.5,20616.0
1759019400,109739.5,109748.0,109528.5,109628.5,12252.0
1759020300,109617.5,109651.5,109512.0,109566.5,4448.0
1759021200,109570.0,109619.5,109423.5,109447.0,7275.0
1759022100,109450.0,109517.5,109418.5,109473.5,9400.0
1759023000,109447.5,109500.0,109320.5,109389.0,20232.0
1759023900,109391.5,109397.5,109293.0,109316.0,17499.0
1759024800,109316.0,109416.0,109306.5,109338.5,8543.0
1759025700,109339.5,109456.0,109327.5,109456.0,5997.0
1759026600,109455.0,109507.5,109390.5,109415.5,11736.0
1759027500,109410.5,109424.5,109353.0,109409.5,4326.0
1759028400,109413.0,109500.5,109413.0,109450.5,13491.0
1759029300,109444.0,109454.5,109415.5,109420.5,3095.0
1759030200,109420.5,109444.5,109375.0,109376.5,15809.0
1759031100,109375.5,109408.5,109375.5,109408.5,4232.0
1759032000,109407.5,109456.5,109391.5,109429.0,5563.0
1759032900,109429.0,109450.0,109326.5,109326.5,11926.0
1759033800,109326.5,109363.5,109325.5,109340.5,10560.0
1759034700,109339.5,109340.5,109326.0,109340.5,7719.0
1759035600,109340.5,109356.0,109312.5,109313.5,10062.0
1759036500,109312.5,109363.0,109312.5,109357.0,9959.0
1759037400,109357.0,109360.5,109310.5,109312.5,8469.0
1759038300,109312.5,109314.5,109302.5,109314.5,7764.0
1759039200,109313.5,109349.5,109312.5,109344.0,7792.0
1759040100,109342.0,109343.0,109237.5,109238.5,20888.0
1759041000,109237.5,109421.5,109215.5,109398.0,20670.0
1759041900,109398.0,109398.0,109340.0,109370.0,7634.0
1759042800,109370.0,109376.5,109304.5,109333.5,7787.0
1759043700,109333.5,109461.0,109333.5,109412.5,21051.0
1759044600,109412.5,109468.0,109403.5,109428.5,9973.0
1759045500,109433.0,109512.0,109430.5,109479.5,15782.0
1759046400,109479.5,109556.0,109441.0,109468.0,17066.0
1759047300,109469.0,109500.5,109383.0,109494.5,17294.0
1759048200,109495.5,109517.0,109437.5,109487.5,10410.0
1759049100,109487.5,109543.0,109470.5,109474.0,9425.0
1759050000,109473.0,109511.0,109319.5,109320.5,17903.0
1759050900,109319.5,109422.0,109290.0,109416.5,18124.0
1759051800,109427.0,109531.5,109404.5,109531.5,18115.0
1759052700,109531.5,109531.5,109452.0,109488.5,9331.0
1759053600,109487.5,109487.5,109373.5,109412.5,11327.0
1759054500,109400.0,109443.0,109387.5,109403.5,6633.0
1759055400,109402.5,109428.0,109328.0,109361.0,11635.0
1759056300,109361.0,109366.5,109323.5,109334.5,7508.0
1759057200,109333.5,109340.0,109281.5,109291.5,6764.0
1759058100,109291.5,109294.0,109200.5,109237.0,26579.0
1759059000,109237.0,109305.5,109234.5,109256.0,7927.0
1759059900,109256.0,109410.0,109210.5,109331.0,17784.0
1759060800,109335.5,109408.0,109314.0,109390.0,9522.0
1759061700,109392.0,109401.0,109325.0,109394.0,7962.0
1759062600,109401.0,109411.0,109166.5,109201.0,19198.0
1759063500,109205.0,109302.5,109147.0,109278.0,22873.0
1759064400,109278.0,109404.0,109278.0,109378.0,14747.0
1759065300,109378.0,109458.0,109339.0,109439.0,31039.0
1759066200,109440.0,109591.5,109421.5,109560.0,42249.0
1759067100,109561.5,109636.5,109534.0,109591.0,36196.0
1759068000,109591.0,109592.0,109465.5,109491.0,25102.0
1759068900,109490.0,109685.0,109490.0,109677.0,41329.0
1759069800,109678.0,109711.0,109590.5,109652.5,33045.0
1759070700,109651.5,109854.0,109637.5,109811.5,76302.0
1759071600,109817.0,109880.5,109667.0,109729.5,52345.0
1759072500,109729.5,109868.0,109728.5,109867.0,22243.0
1759073400,109867.0,109894.0,109757.5,109894.0,23201.0
1759074300,109894.0,110001.0,109882.0,110001.0,52643.0
1759075200,110001.0,110362.5,110000.0,110154.0,144023.0
1759076100,110154.0,110189.5,110002.5,110104.5,73446.0
1759077000,110104.5,110157.5,109962.5,110115.0,52094.0
1759077900,110114.0,110199.5,110102.5,110184.5,26395.0
1759078800,110179.0,110337.0,110162.0,110291.5,63289.0
1759079700,110290.5,110309.5,110085.0,110157.5,38948.0
1759080600,110158.5,110337.5,110132.0,110286.5,34582.0
1759081500,110286.5,110326.5,110150.5,110187.0,25165.0
1759082400,110164.0,110207.0,110014.0,110068.0,32367.0
1759083300,110068.0,110151.5,110068.0,110095.5,18723.0
1759084200,110093.0,110155.0,110085.5,110148.5,10988.0
1759085100,110149.0,110249.0,110148.0,110249.0,19370.0
1759086000,110250.0,110296.0,110074.5,110074.5,23991.0
1759086900,110074.0,110305.5,110071.0,110300.5,18464.0
1759087800,110301.0,110302.0,110251.0,110294.0,13895.0
1759088700,110294.0,110344.5,110251.0,110293.5,14191.0
1759089600,110296.0,110403.5,110247.5,110389.5,38312.0
1759090500,110389.5,110609.0,110361.0,110601.0,72358.0
1759091400,110601.0,110899.5,110601.0,110888.5,78505.0
1759092300,110889.5,110899.5,110687.5,110750.5,39697.0
1759093200,110760.0,110847.5,110760.0,110811.5,13645.0
1759094100,110810.5,110811.5,110665.0,110676.5,8573.0
1759095000,110672.5,110673.5,110585.0,110636.0,10740.0
1759095900,110641.5,110799.0,110641.5,110799.0,8886.0
1759096800,110800.0,111497.5,110800.0,111408.5,109907.0
1759097700,111441.5,111785.5,111390.0,111693.5,58742.0
1759098600,111689.0,111940.5,111680.5,111861.5,45552.0
1759099500,111860.5,111991.5,111811.0,111892.0,48547.0
1759100400,111899.0,112311.5,111899.0,112062.0,78718.0
1759101300,112033.0,112209.0,111925.0,112062.0,14007.0
1759102200,112062.0,112225.0,111979.0,112206.5,16313.0
1759103100,112200.0,112225.0,111998.5,112130.5,20090.0
1759104000,112139.0,112231.5,112000.0,112064.5,21112.0
1759104900,112064.5,112274.0,111931.5,112158.0,33303.0
1759105800,112157.0,112239.0,111957.5,112019.0,20659.0
1759106700,112008.5,112250.5,112008.5,112222.0,20520.0
1759107600,112223.0,112271.5,112070.5,112200.0,29699.0
1759108500,112210.0,112278.0,111985.0,112005.0,16957.0
1759109400,112006.0,112072.0,111965.5,112007.0,17631.0
1759110300,112006.0,112006.0,111663.5,111812.5,53314.0
1759111200,111811.5,111851.5,111675.5,111777.0,20640.0
1759112100,111770.0,111986.0,111728.5,111839.5,27475.0
1759113000,111839.5,111890.5,111589.5,111617.5,30436.0
1759113900,111617.5,111728.0,111573.0,111702.5,20768.0
1759114800,111701.5,111701.5,111528.5,111547.0,25506.0
1759115700,111546.0,111731.5,111546.0,111711.0,17689.0
1759116600,111712.0,111721.5,111660.5,111662.0,11286.0
1759117500,111660.0,111829.5,111632.0,111829.5,24027.0
1759118400,111829.5,111858.0,111747.0,111759.5,28947.0
1759119300,111758.5,111811.5,111703.0,111770.5,11986.0
1759120200,111771.5,111866.5,111761.0,111824.5,8312.0
1759121100,111820.0,111871.5,111763.5,111763.5,10740.0
1759122000,111763.5,111773.0,111573.5,111640.5,26943.0
1759122900,111633.5,111670.5,111518.5,111600.0,24185.0
1759123800,111588.0,111673.0,111544.0,111661.0,10378.0
1759124700,111662.0,111743.0,111653.0,111711.5,13019.0
1759125600,111711.5,111754.5,111614.5,111676.0,13682.0
